"Town","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09",2000,"Square Miles","Land Area",4844.78
"Connecticut","09",2010,"Square Miles","Land Area",4842.33
"Bethel","0900104720",2000,"Square Miles","Land Area",16.79
"Bethel","0900104720",2010,"Square Miles","Land Area",16.89
"Bridgeport","0900108070",2000,"Square Miles","Land Area",16
"Bridgeport","0900108070",2010,"Square Miles","Land Area",15.97
"Brookfield","0900108980",2000,"Square Miles","Land Area",19.8
"Brookfield","0900108980",2010,"Square Miles","Land Area",19.77
"Danbury","0900118500",2000,"Square Miles","Land Area",42.11
"Danbury","0900118500",2010,"Square Miles","Land Area",41.89
"Darien","0900118850",2000,"Square Miles","Land Area",12.86
"Darien","0900118850",2010,"Square Miles","Land Area",12.66
"Easton","0900123890",2000,"Square Miles","Land Area",27.42
"Easton","0900123890",2010,"Square Miles","Land Area",27.42
"Fairfield","0900126620",2000,"Square Miles","Land Area",30.03
"Fairfield","0900126620",2010,"Square Miles","Land Area",29.9
"Greenwich","0900133620",2000,"Square Miles","Land Area",47.83
"Greenwich","0900133620",2010,"Square Miles","Land Area",47.62
"Monroe","0900148620",2000,"Square Miles","Land Area",26.13
"Monroe","0900148620",2010,"Square Miles","Land Area",26.07
"New Canaan","0900150580",2000,"Square Miles","Land Area",22.13
"New Canaan","0900150580",2010,"Square Miles","Land Area",22.19
"New Fairfield","0900150860",2000,"Square Miles","Land Area",20.46
"New Fairfield","0900150860",2010,"Square Miles","Land Area",20.44
"Newtown","0900152980",2000,"Square Miles","Land Area",57.76
"Newtown","0900152980",2010,"Square Miles","Land Area",57.66
"Norwalk","0900156060",2000,"Square Miles","Land Area",22.81
"Norwalk","0900156060",2010,"Square Miles","Land Area",22.86
"Redding","0900163480",2000,"Square Miles","Land Area",31.5
"Redding","0900163480",2010,"Square Miles","Land Area",31.5
"Ridgefield","0900163970",2000,"Square Miles","Land Area",34.43
"Ridgefield","0900163970",2010,"Square Miles","Land Area",34.52
"Shelton","0900168170",2000,"Square Miles","Land Area",30.57
"Shelton","0900168170",2010,"Square Miles","Land Area",30.63
"Sherman","0900168310",2000,"Square Miles","Land Area",21.8
"Sherman","0900168310",2010,"Square Miles","Land Area",21.89
"Stamford","0900173070",2000,"Square Miles","Land Area",37.74
"Stamford","0900173070",2010,"Square Miles","Land Area",37.64
"Stratford","0900174190",2000,"Square Miles","Land Area",17.59
"Stratford","0900174190",2010,"Square Miles","Land Area",17.48
"Trumbull","0900177200",2000,"Square Miles","Land Area",23.29
"Trumbull","0900177200",2010,"Square Miles","Land Area",23.32
"Weston","0900183430",2000,"Square Miles","Land Area",19.8
"Weston","0900183430",2010,"Square Miles","Land Area",19.8
"Westport","0900183500",2000,"Square Miles","Land Area",20.01
"Westport","0900183500",2010,"Square Miles","Land Area",19.96
"Wilton","0900186370",2000,"Square Miles","Land Area",26.95
"Wilton","0900186370",2010,"Square Miles","Land Area",26.8
"Avon","0900302060",2000,"Square Miles","Land Area",23.12
"Avon","0900302060",2010,"Square Miles","Land Area",23.15
"Berlin","0900304300",2000,"Square Miles","Land Area",26.45
"Berlin","0900304300",2010,"Square Miles","Land Area",26.32
"Bloomfield","0900305910",2000,"Square Miles","Land Area",26.01
"Bloomfield","0900305910",2010,"Square Miles","Land Area",26.09
"Bristol","0900308490",2000,"Square Miles","Land Area",26.51
"Bristol","0900308490",2010,"Square Miles","Land Area",26.41
"Burlington","0900310100",2000,"Square Miles","Land Area",29.8
"Burlington","0900310100",2010,"Square Miles","Land Area",29.74
"Canton","0900312270",2000,"Square Miles","Land Area",24.57
"Canton","0900312270",2010,"Square Miles","Land Area",24.59
"East Granby","0900322070",2000,"Square Miles","Land Area",17.48
"East Granby","0900322070",2010,"Square Miles","Land Area",17.56
"East Hartford","0900322630",2000,"Square Miles","Land Area",18.02
"East Hartford","0900322630",2010,"Square Miles","Land Area",18
"East Windsor","0900324800",2000,"Square Miles","Land Area",26.29
"East Windsor","0900324800",2010,"Square Miles","Land Area",26.25
"Enfield","0900325990",2000,"Square Miles","Land Area",33.38
"Enfield","0900325990",2010,"Square Miles","Land Area",33.27
"Farmington","0900327600",2000,"Square Miles","Land Area",28.06
"Farmington","0900327600",2010,"Square Miles","Land Area",28.02
"Glastonbury","0900331240",2000,"Square Miles","Land Area",51.37
"Glastonbury","0900331240",2010,"Square Miles","Land Area",51.27
"Granby","0900332640",2000,"Square Miles","Land Area",40.69
"Granby","0900332640",2010,"Square Miles","Land Area",40.68
"Hartford","0900337070",2000,"Square Miles","Land Area",17.31
"Hartford","0900337070",2010,"Square Miles","Land Area",17.38
"Hartland","0900337140",2000,"Square Miles","Land Area",33.03
